Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
308,train_9x9_0127,9,500,-14.38,0,-0.0693
309,train_9x9_0042,9,48,0.54,1,-0.0693
310,train_9x9_0213,9,500,-14.46,0,-0.0693
311,train_9x9_0117,9,500,-13.91,0,-0.0693
312,train_9x9_0298,9,150,-1.93,1,-0.0693
313,train_9x9_0059,9,500,-13.98,0,-0.0693
314,train_9x9_0082,9,500,-13.4,0,-0.0693
315,train_9x9_0011,9,498,-12.36,1,-0.0693
316,train_9x9_0467,9,475,-11.38,1,-0.0693
317,train_9x9_0241,9,32,1.13,1,-0.0693
318,train_9x9_0354,9,500,-14.3,0,-0.0693
319,train_9x9_0176,9,500,-13.64,0,-0.0693
320,train_9x9_0322,9,47,1.17,1,-0.0693
321,train_9x9_0161,9,500,-13.03,0,-0.0693
322,train_9x9_0248,9,349,-7.02,1,-0.0693
323,train_9x9_0415,9,224,-3.71,1,-0.0693
324,train_9x9_0123,9,500,-13.61,0,-0.0693
325,train_9x9_0458,9,33,1.49,1,-0.0693
326,train_9x9_0120,9,27,0.58,1,-0.0693
327,train_9x9_0408,9,236,-4.52,1,-0.0693
328,train_9x9_0018,9,500,-13.46,0,-0.0693
329,train_9x9_0442,9,306,-5.85,1,-0.0693
330,train_9x9_0152,9,500,-12.73,0,-0.0693
331,train_9x9_0369,9,205,-3.0,1,-0.0693
332,train_9x9_0380,9,500,-13.75,0,-0.0693
333,train_9x9_0024,9,254,-5.27,1,-0.0693
334,train_9x9_0451,9,500,-13.1,0,-0.0693
335,train_9x9_0439,9,192,-3.21,1,-0.0693
336,train_9x9_0360,9,285,-6.19,1,-0.0693
337,train_9x9_0396,9,500,-13.31,0,-0.0693
338,train_9x9_0422,9,409,-8.56,1,-0.0693
339,train_9x9_0090,9,500,-14.06,0,-0.0693
340,train_9x9_0076,9,60,0.21,1,-0.0693
341,train_9x9_0466,9,16,1.7,1,-0.0693
342,train_9x9_0270,9,150,-1.95,1,-0.0693
343,train_9x9_0399,9,500,-13.78,0,-0.0693
344,train_9x9_0028,9,371,-7.59,1,-0.0693
345,train_9x9_0434,9,500,-14.1,0,-0.0693
346,train_9x9_0355,9,500,-13.22,0,-0.0693
347,train_9x9_0015,9,106,-0.3,1,-0.0693
348,train_9x9_0153,9,333,-7.57,1,-0.0693
349,train_9x9_0417,9,319,-6.53,1,-0.0693
350,train_9x9_0399,9,33,1.21,1,-0.0693
