Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
304,train_9x9_0345,9,500,-13.73,0,-0.4953
305,train_9x9_0299,9,333,-6.82,1,0.747
306,train_9x9_0095,9,227,-4.19,1,1.7694
307,train_9x9_0036,9,500,-14.89,0,-0.5498
308,train_9x9_0253,9,500,-14.38,0,-0.5848
309,train_9x9_0440,9,500,-14.12,0,-0.5943
310,train_9x9_0090,9,500,-14.36,0,-0.6139
311,train_9x9_0371,9,163,-2.28,1,1.4608
312,train_9x9_0059,9,500,-13.91,0,-0.5865
313,train_9x9_0443,9,135,-1.92,1,2.7209
314,train_9x9_0449,9,7,1.51,1,5.9922
315,train_9x9_0275,9,110,-1.11,1,2.8084
316,train_9x9_0374,9,500,-13.83,0,-0.593
317,train_9x9_0207,9,500,-14.51,0,-0.611
318,train_9x9_0404,9,500,-13.25,0,-0.6064
319,train_9x9_0282,9,183,-2.69,1,1.6081
320,train_9x9_0180,9,500,-15.01,0,-0.5888
321,train_9x9_0020,9,500,-14.45,0,-0.6116
322,train_9x9_0148,9,500,-13.52,0,-0.591
323,train_9x9_0407,9,500,-13.9,0,-0.45
324,train_9x9_0396,9,441,-10.53,1,0.1281
325,train_9x9_0429,9,500,-13.57,0,-0.4931
326,train_9x9_0238,9,500,-14.49,0,-0.5233
327,train_9x9_0183,9,500,-13.42,0,-0.5095
328,train_9x9_0438,9,500,-13.97,0,-0.2667
329,train_9x9_0228,9,500,-13.78,0,-0.4722
330,train_9x9_0320,9,31,1.32,1,5.3217
331,train_9x9_0095,9,500,-13.08,0,-0.1832
332,train_9x9_0494,9,199,-3.08,1,1.4787
333,train_9x9_0264,9,55,0.82,1,4.136
334,train_9x9_0117,9,246,-4.79,1,1.0781
335,train_9x9_0357,9,500,-14.6,0,-0.4161
336,train_9x9_0077,9,500,-14.22,0,-0.3973
337,train_9x9_0135,9,500,-14.08,0,-0.4448
338,train_9x9_0428,9,367,-9.16,1,0.5271
339,train_9x9_0018,9,500,-13.45,0,-0.3302
340,train_9x9_0290,9,500,-14.65,0,-0.409
341,train_9x9_0039,9,279,-5.5,1,1.1605
342,train_9x9_0136,9,500,-13.78,0,-0.367
343,train_9x9_0191,9,145,-1.9,1,3.0715
344,train_9x9_0156,9,368,-8.27,1,0.6757
345,train_9x9_0171,9,42,0.82,1,5.2933
346,train_9x9_0466,9,34,1.16,1,5.5051
347,train_9x9_0345,9,500,-12.81,0,-0.3323
348,train_9x9_0113,9,2,2.07,1,4.7684
349,train_9x9_0475,9,500,-13.27,0,-0.4647
350,train_9x9_0440,9,207,-4.12,1,1.565
351,train_9x9_0032,9,500,-12.98,0,-0.3249
352,train_9x9_0232,9,244,-5.01,1,1.4998
353,train_9x9_0248,9,357,-7.87,1,0.3694
354,train_9x9_0478,9,500,-13.99,0,-0.5956
355,train_9x9_0157,9,104,-1.04,1,2.0678
356,train_9x9_0209,9,500,-13.55,0,-0.5963
357,train_9x9_0021,9,290,-5.16,1,0.6994
358,train_9x9_0452,9,500,-12.47,0,-0.4961
359,train_9x9_0266,9,500,-14.33,0,-0.6053
360,train_9x9_0061,9,483,-11.66,1,-0.1247
361,train_9x9_0312,9,465,-11.41,1,0.0243
362,train_9x9_0408,9,500,-14.82,0,-0.5417
363,train_9x9_0450,9,208,-3.07,1,1.2823
364,train_9x9_0308,9,500,-14.19,0,-0.5693
